2025-12-12 11:22:25 - modules.pipeline - INFO - Pipeline logging configured successfully
2025-12-12 11:22:25 - modules.pipeline - INFO - Starting FAST video translation
2025-12-12 11:22:25 - modules.pipeline - INFO - Input: backend/test_samples/sample_30s_ru.mp4
2025-12-12 11:22:25 - modules.pipeline - INFO - Target: en
2025-12-12 11:22:25 - modules.pipeline - INFO - Using GPU: False
2025-12-12 11:22:25 - modules.pipeline - INFO - 1. Loading models...
2025-12-12 11:22:25 - modules.pipeline - INFO - Detected/using source language: ru
2025-12-12 11:22:25 - modules.pipeline - INFO - Loading Whisper model...
2025-12-12 11:22:28 - modules.pipeline - INFO - Loaded faster-whisper (FREE optimization)
2025-12-12 11:22:28 - modules.pipeline - INFO - Loading subtitle generator...
2025-12-12 11:22:30 - modules.pipeline - INFO - Loading translation models for ru→en...
2025-12-12 11:22:30 - modules.audio_translator - INFO - Loading Whisper model (optimized for speed)...
2025-12-12 11:22:31 - modules.audio_translator - INFO - [OK] Loaded faster-whisper base model (CPU)
2025-12-12 11:22:31 - modules.audio_translator - INFO - Loading translation model...
2025-12-12 11:22:36 - modules.audio_translator - INFO - [OK] Models loaded successfully: faster-whisper base + Helsinki-NLP/opus-mt-ru-en (CPU)
2025-12-12 11:22:36 - modules.pipeline - INFO - All models loaded successfully with FREE optimizations
2025-12-12 11:22:36 - modules.pipeline - INFO - 2. Extracting audio...
2025-12-12 11:22:36 - modules.pipeline - INFO - Extracting audio from backend/test_samples/sample_30s_ru.mp4
2025-12-12 11:22:37 - modules.pipeline - INFO - Audio extracted: /tmp/octavia\audio.wav
2025-12-12 11:22:37 - modules.pipeline - INFO - 3. Chunking audio...
2025-12-12 11:22:37 - modules.pipeline - INFO - Chunking audio with improved logic
2025-12-12 11:22:38 - modules.pipeline - INFO - Created 5 audio chunks
2025-12-12 11:22:38 - modules.pipeline - INFO - 4. Processing 5 chunks...
2025-12-12 11:22:38 - modules.pipeline - INFO - Processing 5 speech chunks, 0 silent chunks
2025-12-12 11:22:38 - modules.pipeline - INFO - Processing speech chunks with AI orchestration
2025-12-12 11:22:38 - modules.pipeline - INFO - Processing chunk 0 with AI optimization...
2025-12-12 11:22:38 - modules.audio_translator - INFO - Preprocessing audio: normalization and de-noising
2025-12-12 11:22:45 - modules.audio_translator - INFO - Audio preprocessing successful: chunk_0000_preprocessed.wav
2025-12-12 11:22:45 - modules.audio_translator - INFO - Processing audio: chunk_0000_preprocessed.wav
2025-12-12 11:22:45 - modules.audio_translator - INFO - Original duration: 35336ms
2025-12-12 11:22:45 - modules.audio_translator - INFO - Transcribing audio file: /tmp/octavia\chunk_0000.wav (6233312 bytes)
2025-12-12 11:22:45 - modules.audio_translator - ERROR - Language detection failed: 'Tensor' object has no attribute 'astype'
2025-12-12 11:22:45 - modules.audio_translator - INFO - Transcribing audio in ru...
2025-12-12 11:22:46 - faster_whisper - INFO - Processing audio with duration 00:35.336
2025-12-12 11:22:56 - modules.audio_translator - INFO - Transcription successful: 570 chars, 0 segments
2025-12-12 11:22:56 - modules.audio_translator - INFO - Transcribed: 570 characters, 0 segments in ru
2025-12-12 11:22:56 - modules.audio_translator - INFO - Translating from ru to en...
2025-12-12 11:22:56 - modules.audio_translator - INFO - Translating text: 'Добро пожаловать на наш уникальный четырёвчасовой курс по тонкой настройки крупной языковой модели, ...'
2025-12-12 11:22:56 - modules.audio_translator - INFO - Attempting translation with pipeline...
2025-12-12 11:23:00 - modules.audio_translator - INFO - Pipeline translation result: 'Welcome to our unique four-hour course in fine-tuning a large language model, one of the most valuab...'
2025-12-12 11:23:00 - modules.audio_translator - INFO - Translation completed: 570 chars to 519 chars
2025-12-12 11:23:00 - modules.audio_translator - INFO - Speed capped at 1.10x for quality
2025-12-12 11:23:00 - modules.audio_translator - INFO - Frame-accurate speed: 43.250s speech in 35.336s to speed: 1.10x
2025-12-12 11:23:00 - modules.audio_translator - INFO - Selected voice model: en-US-JennyNeural for en (rate: 12 chars/sec)
2025-12-12 11:23:00 - modules.audio_translator - INFO - Generating speech with gTTS (speed: 1.10x)...
2025-12-12 11:23:00 - modules.audio_translator - INFO - Generating speech with Coqui TTS for language: en
2025-12-12 11:23:00 - TTS.utils.manage - INFO - tts_models/en/ljspeech/tacotron2-DDC_ph is already downloaded.
2025-12-12 11:23:00 - TTS.utils.manage - INFO - vocoder_models/en/ljspeech/univnet is already downloaded.
2025-12-12 11:23:00 - TTS.tts.models - INFO - Using model: Tacotron2
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO - Setting up Audio Processor...
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | sample_rate: 22050
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | resample: False
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | num_mels: 80
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | log_func: np.log10
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | min_level_db: -100
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | frame_shift_ms: None
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | frame_length_ms: None
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | ref_level_db: 20
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | fft_size: 1024
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | power: 1.5
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | preemphasis: 0.0
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | griffin_lim_iters: 60
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | signal_norm: True
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | symmetric_norm: True
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | mel_fmin: 50.0
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | mel_fmax: 7600.0
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | pitch_fmin: 0.0
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | pitch_fmax: 640.0
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | spec_gain: 1.0
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | stft_pad_mode: reflect
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | max_norm: 4.0
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | clip_norm: True
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | do_trim_silence: True
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | trim_db: 60
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | do_sound_norm: False
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | do_amp_to_db_linear: True
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | do_amp_to_db_mel: True
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | do_rms_norm: False
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | db_level: None
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | stats_path: C:\Users\onyan\AppData\Local\tts\tts_models--en--ljspeech--tacotron2-DDC_ph\scale_stats.npy
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | base: 10
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | hop_length: 256
2025-12-12 11:23:00 - TTS.utils.audio.processor - INFO -  | win_length: 1024
2025-12-12 11:23:01 - TTS.tts.models.base_tacotron - INFO - Model's reduction rate `r` is set to: 2
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO - Setting up Audio Processor...
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | sample_rate: 22050
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | resample: False
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | num_mels: 80
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | log_func: np.log10
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | min_level_db: -100
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | frame_shift_ms: None
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | frame_length_ms: None
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | ref_level_db: 20
2025-12-12 11:23:01 - TTS.utils.audio.processor - INFO -  | fft_size: 1024
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | power: 1.5
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | preemphasis: 0.0
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | griffin_lim_iters: 60
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | signal_norm: True
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | symmetric_norm: True
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | mel_fmin: 50.0
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | mel_fmax: 7600.0
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | pitch_fmin: 1.0
2025-12-12 11:23:02 - TTS.utils.audio.processor - INFO -  | pitch_fmax: 640.0
